oid,oname,otype_id,person
zz0,元培学院,0,YPadmin
zz10,组织部,1,YPadmin
zz11,综合办公室,1,YPadmin
zz12,宣传部,1,YPadmin
zz13,社会实践与学生团体部,1,YPadmin
zz14,信息化部,1,YPadmin
zz15,青年志愿者协会,1,YPadmin
zz20,实践交流部,2,YPadmin
zz21,内联权益部,2,YPadmin
zz22,文娱生活部,2,YPadmin
zz23,对外联络部,2,YPadmin
zz24,秘书处,2,YPadmin
zz25,体育竞技部,2,YPadmin
zz30,三学学规部,3,YPadmin
zz31,三学科研部,3,YPadmin
zz32,三学宣传部,3,YPadmin
zz33,三学秘书处,3,YPadmin
zz40,经管学会,4,YPadmin
zz41,PPE学会,4,YPadmin
zz42,信息数据智能学会,4,YPadmin
zz43,生化学会,4,YPadmin
zz44,物理学会,4,YPadmin
zz45,整科学会,4,YPadmin
zz46,数学学会,4,YPadmin
zz47,社科学会,4,YPadmin
zz48,法学学会,4,YPadmin
zz49,人文学会,4,YPadmin
zz50,元培第一学生党支部,5,YPadmin
zz51,元培第二学生党支部,5,YPadmin
zz52,元培第三学生党支部,5,YPadmin
zz53,元培第四学生党支部,5,YPadmin
zz60,2020级1班,6,YPadmin
zz61,2019级1班,6,YPadmin
zz62,2018级1班,6,YPadmin
zz70,何善衡图书室,7,YPadmin
zz71,元培设计组,7,YPadmin
zz72,地下电影院,7,YPadmin
zz73,辩论队,7,YPadmin
zz80,男篮,8,YPadmin
zz81,女篮,8,YPadmin
zz82,男足,8,YPadmin
zz83,女足,8,YPadmin
zz84,男排,8,YPadmin
zz85,女排,8,YPadmin
zz86,慢垒,8,YPadmin
zz87,网球,8,YPadmin
zz88,羽毛球,8,YPadmin
zz89,乒乓球,8,YPadmin
zz90,台球,8,YPadmin
zz100,国际品牌传播,10,YPadmin
zz101,国际化能力提升理论与实践,10,YPadmin
zz102,元智乐奕,10,YPadmin
zz103,学业规划课,10,YPadmin
